Code site;Adresse;Opérateur;Mise en service;Mise en service 4G;Mise en service 5G - 3500;Mise en service 5G - 700;Type;Arrondissement;geo_shape;geo_point_2d
00000028U8;24, rue de paradis;Orange;2012-12-31;2013-05-23;2019-07-29;;;75010;"{""coordinates"": [2.3529059997929878, 48.875022000280204], ""type"": ""Point""}";48.875022000280204, 2.3529059997929878
00017185U5;41Bld de Strasbourg;Orange;2021-06-28;2021-06-28;2021-11-09;;;75010;"{""coordinates"": [2.3553519712872695, 48.87197624695602], ""type"": ""Point""}";48.87197624695602, 2.3553519712872695
00000027U8;126, bd magenta;Orange;2012-12-17;2016-11-23;;;;75010;"{""coordinates"": [2.3528249997139463, 48.88016999976032], ""type"": ""Point""}";48.88016999976032, 2.3528249997139463
00016724U5;15 rue Breguet;Orange;2012-10-15;2015-08-10;2023-09-28;;;75011;"{""coordinates"": [2.3729310000801327, 48.85733700032241], ""type"": ""Point""}";48.85733700032241, 2.3729310000801327
00000057U8;7, cité d'angoulême;Orange;;2013-09-19;;;;75011;"{""coordinates"": [2.3748975003004262, 48.86638200011901], ""type"": ""Point""}";48.86638200011901, 2.3748975003004262
00031095U3;30 rue nationale;Orange;2016-01-27;2016-01-13;2021-01-15;;;75013;"{""coordinates"": [2.368163600201702, 48.82397926363322], ""type"": ""Point""}";48.82397926363322, 2.368163600201702
00000010U7;88/90, bd auguste blanqui;Orange;2013-06-25;2013-07-02;2021-04-28;;;75013;"{""coordinates"": [2.345428049787108, 48.83100224001011], ""type"": ""Point""}";48.83100224001011, 2.345428049787108
00000020U7;81, rue de l'Amiral MOUCHEZ;Orange;2011-05-23;2013-07-24;2022-06-03;;;75013;"{""coordinates"": [2.344080199194857, 48.8205816476739], ""type"": ""Point""}";48.8205816476739, 2.344080199194857
00000018U7;7, rue monticelli;Orange;2012-03-02;2018-06-25;;;;75014;"{""coordinates"": [2.3289885002576454, 48.82169700025341], ""type"": ""Point""}";48.82169700025341, 2.3289885002576454
00000038U7;4, rue firmin gillot;Orange;2012-11-28;2013-04-30;2023-08-23;;;75015;"{""coordinates"": [2.2898879996311123, 48.8329650000644], ""type"": ""Point""}";48.8329650000644, 2.2898879996311123
00000419U7;68/70, rue st charles;Orange;2013-01-29;2018-01-15;;;;75015;"{""coordinates"": [2.286391500446739, 48.84778799967964], ""type"": ""Point""}";48.84778799967964, 2.286391500446739
00000062U7;27/29, rue de l'abbé groult;Orange;2013-04-22;2014-01-15;;;;75015;"{""coordinates"": [2.294923500228168, 48.841685999913125], ""type"": ""Point""}";48.841685999913125, 2.294923500228168
00027440U5;143 Avenue de Malakoff;Orange;2017-12-15;2017-12-15;2022-12-28;;;75016;"{""coordinates"": [2.2836599997825755, 48.87555300001617], ""type"": ""Point""}";48.87555300001617, 2.2836599997825755
00000010U8;4, rue des moines;Orange;2011-03-17;2018-02-21;2019-10-18;;;75017;"{""coordinates"": [2.3180175003711847, 48.88728899956559], ""type"": ""Point""}";48.88728899956559, 2.3180175003711847
00028115U5;81, boulevard Gouvion Saint-Cyr;Orange;2014-08-21;2014-08-12;2022-11-04;;;75017;"{""coordinates"": [2.2848434882698685, 48.87939841253957], ""type"": ""Point""}";48.87939841253957, 2.2848434882698685
00000009U8;163, av de clichy;Orange;2014-06-03;2014-05-26;2022-11-24;;;75017;"{""coordinates"": [2.3172524997693444, 48.89213100002154], ""type"": ""Point""}";48.89213100002154, 2.3172524997693444
00021927U5;11 Rue Forest;Orange;2014-06-12;2014-06-12;2019-07-11;;;75018;"{""coordinates"": [2.3290549045011537, 48.8854613386995], ""type"": ""Point""}";48.8854613386995, 2.3290549045011537
